,dataset_id,image_path,root_path,file_name,target_id,target_name
0,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3865.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3865.jpeg,0,aca
1,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc789.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc789.jpeg,2,scc
2,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3278.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3278.jpeg,0,aca
3,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1120.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca1120.jpeg,0,aca
4,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn858.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn858.jpeg,1,n
5,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2062.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2062.jpeg,0,aca
6,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc105.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc105.jpeg,2,scc
7,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc3345.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc3345.jpeg,2,scc
8,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn2274.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn2274.jpeg,1,n
9,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3227.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3227.jpeg,1,n
10,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3918.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3918.jpeg,0,aca
11,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2606.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2606.jpeg,2,scc
12,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn4457.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn4457.jpeg,1,n
13,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc1728.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc1728.jpeg,2,scc
14,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca356.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca356.jpeg,0,aca
15,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1021.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1021.jpeg,1,n
16,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca4687.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca4687.jpeg,0,aca
17,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc1250.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc1250.jpeg,2,scc
18,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn2157.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn2157.jpeg,1,n
19,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1165.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1165.jpeg,1,n
20,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn718.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn718.jpeg,1,n
21,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2869.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2869.jpeg,0,aca
22,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc1596.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc1596.jpeg,2,scc
23,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1399.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1399.jpeg,1,n
24,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc1955.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc1955.jpeg,2,scc
25,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2804.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2804.jpeg,0,aca
26,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3388.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3388.jpeg,0,aca
27,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3938.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3938.jpeg,1,n
28,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2368.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2368.jpeg,2,scc
29,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3930.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3930.jpeg,1,n
30,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc577.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc577.jpeg,2,scc
31,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3998.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3998.jpeg,1,n
32,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3575.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3575.jpeg,0,aca
33,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3753.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3753.jpeg,0,aca
34,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca1709.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca1709.jpeg,0,aca
35,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn2755.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn2755.jpeg,1,n
36,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3700.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3700.jpeg,0,aca
37,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2527.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2527.jpeg,2,scc
38,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2006.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2006.jpeg,0,aca
39,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1513.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1513.jpeg,1,n
40,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2678.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2678.jpeg,0,aca
41,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1641.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1641.jpeg,1,n
42,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2783.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2783.jpeg,2,scc
43,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca298.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca298.jpeg,0,aca
44,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3577.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3577.jpeg,1,n
45,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3092.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3092.jpeg,0,aca
46,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3492.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3492.jpeg,0,aca
47,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3277.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3277.jpeg,1,n
48,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc3958.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc3958.jpeg,2,scc
49,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn4900.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn4900.jpeg,1,n
50,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc4598.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc4598.jpeg,2,scc
51,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc4412.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc4412.jpeg,2,scc
52,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn3360.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn3360.jpeg,1,n
53,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc1327.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc1327.jpeg,2,scc
54,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2386.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2386.jpeg,2,scc
55,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc2280.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc2280.jpeg,2,scc
56,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca2941.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca2941.jpeg,0,aca
57,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc4266.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc4266.jpeg,2,scc
58,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn1215.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn1215.jpeg,1,n
59,train,../data/lung_colon_image_set/lung_image_sets/lung_scc/lungscc4931.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_scc,lungscc4931.jpeg,2,scc
60,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca3027.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca3027.jpeg,0,aca
61,train,../data/lung_colon_image_set/lung_image_sets/lung_n/lungn7.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_n,lungn7.jpeg,1,n
62,train,../data/lung_colon_image_set/lung_image_sets/lung_aca/lungaca522.jpeg,../data/lung_colon_image_set/lung_image_sets/lung_aca,lungaca522.jpeg,0,aca
